This is the complete list of games supported by MAME GCW0 1.1 (based on 0.37b5) (Dec 23 2013)

The list is generated automatically and is not 100% accurate, particularly in
the "Screen Flip" column. Please let us know of any errors you find so we can
correct them.

The meanings of the columns are as follows:
Working - "No" means that the emulation has shortcomings that cause the game
  not to work correctly. This can be anywhere from just showing a black screen
  to being playable with major problems.
Correct Colors - "Yes" means that colors should be identical to the original,
  "Close" that they are very similar but wrong in places, "No" that they are
  completely wrong. In some cases, we were not able to find the color PROMs of
  the game. Those PROMs will be reported as "NO GOOD DUMP KNOWN" on startup,
  and the game will have wrong colors. The game is still reported as "Yes" in
  this column, because the code to handle the color PROMs is in the driver and
  if you provide them colors will be correct.
Sound - "Partial" means that sound support is either incomplete or not entirely
  accurate. Note that, due to analog circuitry which is difficult to emulate,
  sound may be significantly different from the real board. A common case is
  the presence of low pass filters that make the real board sound less harsh
  than the emulation.
Screen Flip - A large number of games have a dip switch setting for "Cocktail"
  cabinet, meaning that the players sit in front of each other, and the screen
  is flipped when player 2 is playing. Some games also have a "Flip Screen" dip
  switch. Those need special support in the driver, which is missing in many
  cases.
Internal Name - This is the unique name that should be specified on the command
  line to run the game. ROMs must be placed in the ROM path, either in a .zip
  file or in a subdirectory of the same name. The former is suggested, because
  the files will be identified by their CRC instead of requiring specific
  names.

+----------------------------------+-------+-------+-------+-------+----------+
|                                  |       |Correct|       |Screen | Internal |
| Monster Bash                     |  Yes  |  Yes  | Yes(2)|  Yes  | monsterb |
| Space Odyssey                    |  Yes  |  Yes  | Yes(2)|  Yes  | spaceod  |
| Pig Newton (version C)           |  Yes  |  Yes  |   No  |  Yes  | pignewt  |
| Pig Newton (version A)           |  Yes  |  Yes  |   No  |  Yes  | pignewta |
| Sindbad Mystery                  |  Yes  |  Yes  |  Yes  |  Yes  | sindbadm |
| Zaxxon (set 1)                   |  Yes  |  Yes  | Yes(2)|   No  | zaxxon   |
| Zaxxon (set 2)                   |  Yes  |  Yes  | Yes(2)|   No  | zaxxon2  |
| Jackson                          |  Yes  |  Yes  | Yes(2)|   No  | zaxxonb  |
| Super Zaxxon                     |  Yes  |  Yes  | Yes(2)|   No  | szaxxon  |
| Future Spy                       |  Yes  |  Yes  | Yes(2)|   No  | futspy   |
| Razzmatazz                       |  Yes  |  Yes  |   No  |   No  | razmataz |
| Congo Bongo                      |  Yes  |  Yes  | Yes(2)|  Yes  | congo    |
| Tip Top                          |  Yes  |  Yes  | Yes(2)|  Yes  | tiptop   |
| Star Jacker (Sega)               |  Yes  |  Yes  |  Yes  |   No  | starjack |
| Star Jacker (Stern)              |  Yes  |  Yes  |  Yes  |   No  | starjacs |
| Regulus                          |  Yes  |  Yes  |  Yes  |   No  | regulus  |
| Regulus (not encrypted)          |  Yes  |  Yes  |  Yes  |   No  | regulusu |
| Up'n Down                        |  Yes  |  Yes  |  Yes  |   No  | upndown  |
| Mister Viking                    |  Yes  |  Yes  |  Yes  |   No  | mrviking |
| Mister Viking (Japan)            |  Yes  |  Yes  |  Yes  |   No  | mrvikinj |
| SWAT                             |  Yes  |  Yes  |  Yes  |   No  | swat     |
| Flicky (set 1)                   |  Yes  |  Yes  |  Yes  |   No  | flicky   |
| Flicky (set 2)                   |  Yes  |  Yes  |  Yes  |   No  | flicky2  |
| Tougyuu, The (Japan)             |  Yes  |  Yes  |  Yes  |   No  | bullfgtj |
| Pitfall II                       |  Yes  |  Yes  |  Yes  |   No  | pitfall2 |
| Pitfall II (not encrypted)       |  Yes  |  Yes  |  Yes  |   No  | pitfallu |
| Sega Ninja                       |  Yes  |  Yes  |  Yes  |   No  | seganinj |
| Sega Ninja (not encrypted)       |  Yes  |  Yes  |  Yes  |   No  | seganinu |
| Ninja Princess                   |  Yes  |  Yes  |  Yes  |   No  | nprinces |
| Ninja Princess (not encrypted)   |  Yes  |  Yes  |  Yes  |   No  | nprincsu |
| Ninja Princess (bootleg?)        |  Yes  |  Yes  |  Yes  |   No  | nprincsb |
| I'm Sorry (US)                   |  Yes  |  Yes  |  Yes  |   No  | imsorry  |
| I'm Sorry (Japan)                |  Yes  |  Yes  |  Yes  |   No  | imsorryj |
| TeddyBoy Blues                   |  Yes  |  Yes  |  Yes  |   No  | teddybb  |
| Heavy Metal                      |  Yes  |  Yes  |  Yes  |   No  | hvymetal |
| My Hero (US)                     |  Yes  |  Yes  |  Yes  |   No  | myhero   |
| Seishun Scandal (Japan)          |  Yes  |  Yes  |  Yes  |   No  | myheroj  |
| My Hero (Korea)                  |  Yes  |  Yes  |  Yes  |   No  | myherok  |
| Shooting Master                  |   No  |  Yes  |  Yes  |   No  | shtngmst |
| Choplifter                       | No(1) |  Yes  |  Yes  |   No  | chplft   |
| Choplifter (alternate)           |  Yes  |  Yes  |  Yes  |   No  | chplftb  |
| Choplifter (bootleg)             |  Yes  |  Yes  |  Yes  |   No  | chplftbl |
| 4-D Warriors                     |  Yes  |  Yes  |  Yes  |   No  | 4dwarrio |
| Brain                            |  Yes  |  Yes  |  Yes  |   No  | brain    |
| Wonder Boy (set 1)               |  Yes  |  Yes  |  Yes  |   No  | wboy     |
| Wonder Boy (set 2)               |  Yes  |  Yes  |  Yes  |   No  | wboy2    |
| Wonder Boy (set 3)               | No(1) |  Yes  |  Yes  |   No  | wboy3    |
| Wonder Boy (set 4)               |  Yes  |  Yes  |  Yes  |   No  | wboy4    |
| Wonder Boy (not encrypted)       |  Yes  |  Yes  |  Yes  |   No  | wboyu    |
| Wonder Boy (set 4 not encrypted) |  Yes  |  Yes  |  Yes  |   No  | wboy4u   |
| Wonder Boy Deluxe                |  Yes  |  Yes  |  Yes  |   No  | wbdeluxe |
| Gardia                           |   No  |  Yes  |  Yes  |   No  | gardia   |
| Gardia (bootleg)                 |   No  |  Yes  |  Yes  |   No  | gardiab  |
| Block Gal                        |   No  |  Yes  |  Yes  |   No  | blockgal |
| Block Gal (bootleg)              |   No  |  Yes  |  Yes  |   No  | blckgalb |
| Toki no Senshi - Chrono Soldier  |  Yes  |  Yes  |  Yes  |   No  | tokisens |
| Wonder Boy in Monster Land       |  Yes  |  Yes  |  Yes  |   No  | wbml     |
| Wonder Boy in Monster Land (Japan| No(1) |  Yes  |  Yes  |   No  | wbmlj    |
| Wonder Boy in Monster Land (Japan| No(1) |  Yes  |  Yes  |   No  | wbmlj2   |
| Wonder Boy in Monster Land (Japan|  Yes  |  Yes  |  Yes  |   No  | wbmlju   |
| DakkoChan Jansoh                 |   No  |  Yes  |  Yes  |   No  | dakkochn |
| Ufo Senshi Yohko Chan            |   No  |  Yes  |  Yes  |   No  | ufosensi |
| Turbo                            |  Yes  |  Yes  | Yes(2)|   No  | turbo    |
| Turbo (encrypted set 1)          |  Yes  |  Yes  | Yes(2)|   No  | turboa   |
| Turbo (encrypted set 2)          |  Yes  |  Yes  | Yes(2)|   No  | turbob   |
| Super Locomotive                 |  Yes  |  Yes  |  Yes  |  Yes  | suprloco |
| Appoooh                          |  Yes  |  Yes  |  Yes  |  Yes  | appoooh  |
| Bank Panic                       |  Yes  |  Yes  |  Yes  |  Yes  | bankp    |
| Combat Hawk                      |  Yes  |  Yes  |  Yes  |  Yes  | combh    |
| Dottori Kun (new version)        |  Yes  |  Yes  |  Yes  |  Yes  | dotrikun |
| Dottori Kun (old version)        |  Yes  |  Yes  |  Yes  |  Yes  | dotriku2 |
| Alex Kidd (set 1)                | No(1) |  Yes  |  Yes  |  Yes  | alexkidd |
| Alien Syndrome (set 2)           | No(1) |  Yes  |  Yes  |  Yes  | aliensya |
| Alien Syndrome (set 3)           | No(1) |  Yes  |  Yes  |  Yes  | aliensyb |
| Alien Syndrome (Japan)           | No(1) |  Yes  |  Yes  |  Yes  | aliensyj |
| Alien Storm                      | No(1) |  Yes  |  Yes  |  Yes  | astorm   |
| Alien Storm (2 Player)           | No(1) |  Yes  |  Yes  |  Yes  | astorm2p |
| Aurail (set 2)                   |  Yes  |  Yes  |  Yes  |  Yes  | auraila  |
| Bay Route (set 2)                | No(1) |  Yes  |  Yes  |  Yes  | bayrouta |
| Bay Route (bootleg set 1)        | No(1) |  Yes  |  Yes  |  Yes  | bayrtbl1 |
| Bay Route (bootleg set 2)        | No(1) |  Yes  |  Yes  |  Yes  | bayrtbl2 |
| Enduro Racer                     | No(1) |  Yes  |  Yes  |  Yes  | enduror  |
| E-Swat                           | No(1) |  Yes  |  Yes  |  Yes  | eswat    |
| Flash Point                      | No(1) |  Yes  |  Yes  |  Yes  | fpoint   |
| Golden Axe (Version 2 317-0110)  | No(1) |  Yes  |  Yes  |  Yes  | goldnaxb |
| Golden Axe (Version 2 317-0122)  | No(1) |  Yes  |  Yes  |  Yes  | goldnaxc |
| Golden Axe (Version 1, Japan)    | No(1) |  Yes  |  Yes  |  Yes  | goldnaxj |
| Jyuohki (Japan)                  | No(1) |  Yes  |  Yes  |  Yes  | jyuohki  |
| Moon Walker (Set 1)              | No(1) |  Yes  |  Yes  |  Yes  | moonwalk |
| Moon Walker (Set 2)              | No(1) |  Yes  |  Yes  |  Yes  | moonwlka |
| Passing Shot (2 Players)         | No(1) |  Yes  |  Yes  |  Yes  | passsht  |
| SDI - Strategic Defense Initiativ| No(1) |  Yes  |  Yes  |  Yes  | sdioj    |
| Super Hang-On                    | No(1) |  Yes  |  Yes  |  Yes  | shangon  |
| Shinobi (set 2)                  | No(1) |  Yes  |  Yes  |  Yes  | shinobia |
| Shinobi (set 3)                  | No(1) |  Yes  |  Yes  |  Yes  | shinobib |
| Tetris (Sega Set 1)              | No(1) |  Yes  |  Yes  |  Yes  | tetris   |
| Tetris (Sega Set 2)              | No(1) |  Yes  |  Yes  |  Yes  | tetrisa  |
| Wonder Boy III - Monster Lair (se| No(1) |  Yes  |  Yes  |  Yes  | wb3a     |
| Alex Kidd (set 2)                |  Yes  |  Yes  |  Yes  |  Yes  | alexkida |
| Alien Syndrome (set 1)           |  Yes  |  Yes  |  Yes  |  Yes  | aliensyn |
| Altered Beast (Version 2)        |  Yes  |  Yes  |   No  |  Yes  | altbeas2 |
| Altered Beast (Version 1)        |  Yes  |  Yes  |  Yes  |  Yes  | altbeast |
| Alien Storm (bootleg)            |  Yes  |  Yes  |  Yes  |  Yes  | astormbl |
| Atomic Point                     |  Yes  |  Yes  |   No  |  Yes  | atomicp  |
| Aurail (set 1)                   |  Yes  |  Yes  |  Yes  |  Yes  | aurail   |
| Bay Route (set 1)                |  Yes  |  Yes  |  Yes  |  Yes  | bayroute |
| Body Slam                        |  Yes  |  Yes  |  Yes  |  Yes  | bodyslam |
| Dynamite Dux (bootleg)           |  Yes  |  Yes  |  Yes  |  Yes  | dduxbl   |
| Dump Matsumoto (Japan)           |  Yes  |  Yes  |  Yes  |  Yes  | dumpmtmt |
| Enduro Racer (bootleg set 2)     |  Yes  |  Yes  |  Yes  |  Yes  | endurob2 |
| Enduro Racer (bootleg set 1)     |  Yes  |  Yes  |  Yes  |  Yes  | endurobl |
| E-Swat (bootleg)                 |  Yes  |  Yes  |  Yes  |  Yes  | eswatbl  |
| Fantasy Zone (Japan New Ver.)    |  Yes  |  Yes  |  Yes  |  Yes  | fantzone |
| Fantasy Zone (Old Ver.)          |  Yes  |  Yes  |  Yes  |  Yes  | fantzono |
| Flash Point (bootleg)            |  Yes  |  Yes  |  Yes  |  Yes  | fpointbl |
| Golden Axe (bootleg)             | No(1) |  Yes  |  Yes  |  Yes  | goldnabl |
| Golden Axe (Version 2)           |  Yes  |  Yes  |  Yes  |  Yes  | goldnaxa |
| Golden Axe (Version 1)           |  Yes  |  Yes  |  Yes  |  Yes  | goldnaxe |
| Hang-On                          |  Yes  |  Yes  |  Yes  |  Yes  | hangon   |
| Heavyweight Champ                |  Yes  |  Yes  |  Yes  |  Yes  | hwchamp  |
| Major League                     |  Yes  |  Yes  |  Yes  |  Yes  | mjleague |
| Moon Walker (bootleg)            |  Yes  |  Yes  |  Yes  |  Yes  | moonwlkb |
| Out Run (set 1)                  |  Yes  |  Yes  |  Yes  |  Yes  | outrun   |
| Out Run (set 2)                  |  Yes  |  Yes  |  Yes  |  Yes  | outruna  |
| Out Run (set 3)                  |  Yes  |  Yes  |  Yes  |  Yes  | outrunb  |
| Passing Shot (4 Players) (bootleg|  Yes  |  Yes  |   No  |  Yes  | passht4b |
| Passing Shot (2 Players) (bootleg|  Yes  |  Yes  |  Yes  |  Yes  | passshtb |
| Quartet                          |  Yes  |  Yes  |  Yes  |  Yes  | quartet  |
| Quartet II                       |  Yes  |  Yes  |  Yes  |  Yes  | quartet2 |
| Quartet (Japan)                  |  Yes  |  Yes  |  Yes  |  Yes  | quartetj |
| Riot City                        |  Yes  |  Yes  |  Yes  |  Yes  | riotcity |
| SDI - Strategic Defense Initiativ|  Yes  |  Yes  |  Yes  |  Yes  | sdi      |
| Super Hang-On (bootleg)          |  Yes  |  Yes  |  Yes  |  Yes  | shangonb |
| Space Harrier                    |  Yes  |  Yes  |  Yes  |  Yes  | sharrier |
| Shadow Dancer (bootleg)          | No(1) |  Yes  |  Yes  |  Yes  | shdancbl |
| Shadow Dancer (US)               |  Yes  |  Yes  |  Yes  |  Yes  | shdancer |
| Shadow Dancer (Japan)            |  Yes  |  Yes  |  Yes  |  Yes  | shdancrj |
| Shinobi (set 1)                  |  Yes  |  Yes  |  Yes  |  Yes  | shinobi  |
| Shinobi (bootleg)                |  Yes  |  Yes  |  Yes  |  Yes  | shinobl  |
| Tetris (Sega bootleg)            |  Yes  |  Yes  |  Yes  |  Yes  | tetrisbl |
| Time Scanner                     |  Yes  |  Yes  |  Yes  |  Yes  | timscanr |
| Toryumon                         |  Yes  |  Yes  |  Yes  |  Yes  | toryumon |
| Tough Turf (Japan)               |  Yes  |  Yes  |   No  |  Yes  | tturf    |
| Tough Turf (bootleg)             |  Yes  |  Yes  |Partial|  Yes  | tturfbl  |
| Tough Turf (US)                  |  Yes  |  Yes  |   No  |  Yes  | tturfu   |
| Wonder Boy III - Monster Lair (se|  Yes  |  Yes  |  Yes  |  Yes  | wb3      |
| Wonder Boy III - Monster Lair (bo|  Yes  |  Yes  |  Yes  |  Yes  | wb3bl    |
| Wrestle War                      |  Yes  |  Yes  |  Yes  |  Yes  | wrestwar |
| Logic Pro                        |  Yes  |  Yes  |  Yes  |  Yes  | logicpro |
| Karian Cross                     |  Yes  |  Yes  |  Yes  |  Yes  | karianx  |
| Logic Pro 2 (Japan)              |  Yes  |  Yes  |Partial|  Yes  | logicpr2 |
| Lock'n'Chase                     |  Yes  |  Yes  |  Yes  |  Yes  | lnc      |
| Zoar                             |  Yes  |  Yes  |  Yes  |  Yes  | zoar     |
| Burger Time (Data East set 1)    |  Yes  |  Yes  |  Yes  |  Yes  | btime    |
| Burger Time (Data East set 2)    |  Yes  |  Yes  |  Yes  |  Yes  | btime2   |
| Burger Time (Midway)             |  Yes  |  Yes  |  Yes  |  Yes  | btimem   |
| World Tennis                     |  Yes  |  Yes  |  Yes  |  Yes  | wtennis  |
| Burnin' Rubber                   |  Yes  |  Yes  |  Yes  |  Yes  | brubber  |
| Bump 'n' Jump                    |  Yes  |  Yes  |  Yes  |  Yes  | bnj      |
| Car Action                       |  Yes  |  Yes  |  Yes  |  Yes  | caractn  |
| Disco No.1                       |  Yes  |  Yes  |  Yes  |  Yes  | disco    |
| Minky Monkey                     |  Yes  |  Yes  |  Yes  |  Yes  | mmonkey  |
| Cook Race                        |  Yes  |  Yes  |  Yes  |  Yes  | cookrace |
| Astro Fighter (set 1)            |  Yes  |  Yes  | Yes(2)|  Yes  | astrof   |
| Astro Fighter (set 2)            |  Yes  |  Yes  | Yes(2)|  Yes  | astrof2  |
| Astro Fighter (set 3)            |  Yes  |  Yes  | Yes(2)|  Yes  | astrof3  |
| Tomahawk 777 (Revision 1)        |  Yes  |  Yes  | Yes(2)|  Yes  | tomahawk |
| Tomahawk 777 (Revision 5)        |  Yes  |  Yes  | Yes(2)|  Yes  | tomahaw5 |
| Karate Champ (US)                |  Yes  |  Yes  |  Yes  |   No  | kchamp   |
| Karate Dou (Japan)               |  Yes  |  Yes  |  Yes  |   No  | karatedo |
| Karate Champ (US VS version)     |  Yes  |  Yes  |  Yes  |   No  | kchampvs |
| Taisen Karate Dou (Japan VS versi|  Yes  |  Yes  |  Yes  |   No  | karatevs |
| Fire Trap                        |  Yes  |  Yes  |  Yes  |  Yes  | firetrap |
| Fire Trap (Japan bootleg)        |  Yes  |  Yes  |  Yes  |  Yes  | firetpbl |
| Break Thru (US)                  |  Yes  |  Yes  |  Yes  |  Yes  | brkthru  |
| Kyohkoh-Toppa (Japan)            |  Yes  |  Yes  |  Yes  |  Yes  | brkthruj |
| Darwin 4078 (Japan)              |  Yes  |  Yes  |  Yes  |  Yes  | darwin   |
| Shoot Out (US)                   |  Yes  |  Yes  |  Yes  |   No  | shootout |
| Shoot Out (Japan)                |  Yes  |  Yes  |  Yes  |   No  | shootouj |
| Shoot Out (Korean Bootleg)       |  Yes  |  Yes  |  Yes  |   No  | shootoub |
| Side Pocket (World)              |  Yes  |  Yes  |  Yes  |  Yes  | sidepckt |
| Side Pocket (Japan)              |  Yes  |  Yes  |  Yes  |  Yes  | sidepctj |
| Side Pocket (bootleg)            |  Yes  |  Yes  |  Yes  |  Yes  | sidepctb |
| Express Raider (US)              |  Yes  |  Yes  |  Yes  |   No  | exprraid |
| Western Express (World?)         |  Yes  |  Yes  |  Yes  |   No  | wexpress |
| Western Express (bootleg)        |  Yes  |  Yes  |  Yes  |   No  | wexpresb |
| Pocket Gal (Japan)               |  Yes  |  Yes  |  Yes  |  Yes  | pcktgal  |
| Pocket Gal (bootleg)             |  Yes  |  Yes  |  Yes  |  Yes  | pcktgalb |
| Pocket Gal 2 (World?)            |  Yes  |  Yes  |  Yes  |  Yes  | pcktgal2 |
| Super Pool III (World?)          |  Yes  |  Yes  |  Yes  |  Yes  | spool3   |
| Super Pool III (I-Vics)          |  Yes  |  Yes  |  Yes  |  Yes  | spool3i  |
| Battle Rangers (World)           |  Yes  |  Yes  |Partial|  Yes  | battlera |
| Bloody Wolf (US)                 |  Yes  |  Yes  |Partial|  Yes  | bldwolf  |
| Act-Fancer Cybernetick Hyper Weap|  Yes  |  Yes  |  Yes  |  Yes  | actfancr |
| Act-Fancer Cybernetick Hyper Weap|  Yes  |  Yes  |  Yes  |  Yes  | actfanc1 |
| Act-Fancer Cybernetick Hyper Weap|  Yes  |  Yes  |  Yes  |  Yes  | actfancj |
| Trio The Punch - Never Forget Me.|  Yes  |  Yes  |  Yes  |  Yes  | triothep |
| Last Mission (US revision 6)     |  Yes  |  Yes  |  Yes  |  Yes  | lastmiss |
| Last Mission (US revision 5)     |  Yes  |  Yes  |  Yes  |  Yes  | lastmss2 |
| Shackled (US)                    |  Yes  |  Yes  |  Yes  |  Yes  | shackled |
| Breywood (Japan revision 2)      |  Yes  |  Yes  |  Yes  |  Yes  | breywood |
| Captain Silver (Japan)           |  Yes  |  Yes  |  Yes  |  Yes  | csilver  |
| Real Ghostbusters, The (US 2 Play|  Yes  |  Yes  |  Yes  |  Yes  | ghostb   |
| Real Ghostbusters, The (US 3 Play|  Yes  |  Yes  |  Yes  |  Yes  | ghostb3  |
| Meikyuu Hunter G (Japan)         |  Yes  |  Yes  |  Yes  |  Yes  | meikyuh  |
| Super Real Darwin (Japan)        |  Yes  |  Yes  |  Yes  |  Yes  | srdarwin |
| Gondomania (US)                  |  Yes  |  Yes  |  Yes  |  Yes  | gondo    |
| Makyou Senshi (Japan)            |  Yes  |  Yes  |  Yes  |  Yes  | makyosen |
| Garyo Retsuden (Japan)           |  Yes  |  Yes  |  Yes  |  Yes  | garyoret |
| Cobra-Command (World revision 5) |  Yes  |  Yes  |  Yes  |  Yes  | cobracom |
| Cobra-Command (Japan)            |  Yes  |  Yes  |  Yes  |  Yes  | cobracmj |
| Psycho-Nics Oscar (US)           |  Yes  |  Yes  |  Yes  |  Yes  | oscar    |
| Psycho-Nics Oscar (Japan revision|  Yes  |  Yes  |  Yes  |  Yes  | oscarj   |
| Psycho-Nics Oscar (Japan revision|  Yes  |  Yes  |  Yes  |  Yes  | oscarj1  |
| Psycho-Nics Oscar (Japan revision|  Yes  |  Yes  |  Yes  |  Yes  | oscarj0  |
| Karnov (US)                      |  Yes  |  Yes  |  Yes  |   No  | karnov   |
| Karnov (Japan)                   |  Yes  |  Yes  |  Yes  |   No  | karnovj  |
| Chelnov - Atomic Runner (US)     |  Yes  |  Yes  |  Yes  |   No  | chelnov  |
| Chelnov - Atomic Runner (Japan)  |  Yes  |  Yes  |  Yes  |   No  | chelnovj |
| Heavy Barrel (US)                |  Yes  |  Yes  |  Yes  |   No  | hbarrel  |
| Heavy Barrel (World)             |  Yes  |  Yes  |  Yes  |   No  | hbarrelw |
| Bad Dudes vs. Dragonninja (US)   |  Yes  |  Yes  |  Yes  |   No  | baddudes |
| Dragonninja (Japan)              |  Yes  |  Yes  |  Yes  |   No  | drgninja |
| Robocop (World revision 3)       | No(1) |  Yes  |  Yes  |   No  | robocop  |
| Robocop (US revision 1)          | No(1) |  Yes  |  Yes  |   No  | robocopu |
| Robocop (US revision 0)          | No(1) |  Yes  |  Yes  |   No  | robocpu0 |
| Robocop (World bootleg)          |  Yes  |  Yes  |  Yes  |   No  | robocopb |
| Hippodrome (US)                  |  Yes  |  Yes  |  Yes  |   No  | hippodrm |
| Fighting Fantasy (Japan)         |  Yes  |  Yes  |  Yes  |   No  | ffantasy |
| Sly Spy (US revision 3)          |  Yes  |  Yes  |  Yes  |   No  | slyspy   |
| Sly Spy (US revision 2)          |  Yes  |  Yes  |  Yes  |   No  | slyspy2  |
| Secret Agent (World)             |  Yes  |  Yes  |  Yes  |   No  | secretag |
| Midnight Resistance (World)      |  Yes  |  Yes  |  Yes  |   No  | midres   |
| Midnight Resistance (US)         |  Yes  |  Yes  |  Yes  |   No  | midresu  |
| Midnight Resistance (Japan)      |  Yes  |  Yes  |  Yes  |   No  | midresj  |
| Boulder Dash / Boulder Dash Part |  Yes  |  Yes  |  Yes  |   No  | bouldash |
| Stadium Hero (Japan)             |  Yes  |  Yes  |  Yes  |  Yes  | stadhero |
| Mad Motor                        |  Yes  |  Yes  |  Yes  |  Yes  | madmotor |
| Vapor Trail - Hyper Offence Forma|  Yes  |  Yes  |  Yes  |  Yes  | vaportra |
| Vapor Trail - Hyper Offence Forma|  Yes  |  Yes  |  Yes  |  Yes  | vaportru |
| Kuhga - Operation Code 'Vapor Tra|  Yes  |  Yes  |  Yes  |  Yes  | kuhga    |
| Crude Buster (World FX version)  |  Yes  |  Yes  |  Yes  |  Yes  | cbuster  |
| Crude Buster (World FU version)  |  Yes  |  Yes  |  Yes  |  Yes  | cbusterw |
| Crude Buster (Japan)             |  Yes  |  Yes  |  Yes  |  Yes  | cbusterj |
| Two Crude (US)                   |  Yes  |  Yes  |  Yes  |  Yes  | twocrude |
| Dark Seal (World revision 3)     |  Yes  |  Yes  |  Yes  |  Yes  | darkseal |
| Dark Seal (World revision 1)     |  Yes  |  Yes  |  Yes  |  Yes  | darksea1 |
| Dark Seal (Japan)                |  Yes  |  Yes  |  Yes  |  Yes  | darkseaj |
| Gate of Doom (US revision 4)     |  Yes  |  Yes  |  Yes  |  Yes  | gatedoom |
| Gate of Doom (US revision 1)     |  Yes  |  Yes  |  Yes  |  Yes  | gatedom1 |
| Super Burger Time (World)        |  Yes  |  Yes  |  Yes  |  Yes  | supbtime |
| Super Burger Time (Japan)        |  Yes  |  Yes  |  Yes  |  Yes  | supbtimj |
| Caveman Ninja (World revision 3) |  Yes  |  Yes  |  Yes  |  Yes  | cninja   |
| Caveman Ninja (World revision 0) |  Yes  |  Yes  |  Yes  |  Yes  | cninja0  |
| Caveman Ninja (US)               |  Yes  |  Yes  |  Yes  |  Yes  | cninjau  |
| Joe & Mac (Japan)                |  Yes  |  Yes  |  Yes  |  Yes  | joemac   |
| Stoneage                         |  Yes  |  Yes  |  Yes  |  Yes  | stoneage |
| Tumble Pop (World)               |  Yes  |  Yes  |  Yes  |  Yes  | tumblep  |
| Tumble Pop (Japan)               |  Yes  |  Yes  |  Yes  |  Yes  | tumblepj |
| Tumble Pop (bootleg set 1)       |  Yes  |  Yes  |Partial|  Yes  | tumblepb |
| Tumble Pop (bootleg set 2)       |  Yes  |  Yes  |Partial|  Yes  | tumblep2 |
| Senjyo                           |  Yes  |  Yes  |  Yes  |  Yes  | senjyo   |
| Star Force                       |  Yes  |  Yes  |  Yes  |  Yes  | starforc |
| Star Force (encrypted)           |  Yes  |  Yes  |  Yes  |  Yes  | starfore |
| Mega Force                       |  Yes  |  Yes  |  Yes  |  Yes  | megaforc |
| Baluba-louk no Densetsu          |  Yes  | Close |  Yes  |  Yes  | baluba   |
| Bomb Jack (set 1)                |  Yes  |  Yes  |  Yes  |  Yes  | bombjack |
| Bomb Jack (set 2)                |  Yes  |  Yes  |  Yes  |  Yes  | bombjac2 |
| Pinball Action (set 1)           |  Yes  |  Yes  |  Yes  |  Yes  | pbaction |
| Pinball Action (set 2)           |  Yes  |  Yes  |  Yes  |  Yes  | pbactio2 |
| Tehkan World Cup                 |  Yes  |  Yes  |  Yes  |  Yes  | tehkanwc |
| Gridiron Fight                   |  Yes  |  Yes  |  Yes  |  Yes  | gridiron |
| Tee'd Off                        |   No  |  Yes  |  Yes  |  Yes  | teedoff  |
| Solomon's Key (Japan)            |  Yes  |  Yes  |  Yes  |  Yes  | solomon  |
| Rygar (US set 1)                 |  Yes  |  Yes  |  Yes  |  Yes  | rygar    |
| Rygar (US set 2)                 |  Yes  |  Yes  |  Yes  |  Yes  | rygar2   |
| Argus no Senshi (Japan)          |  Yes  |  Yes  |  Yes  |  Yes  | rygarj   |
| Gemini Wing                      |  Yes  |  Yes  |  Yes  |  Yes  | gemini   |
| Silkworm (set 1)                 |  Yes  |  Yes  |  Yes  |  Yes  | silkworm |
| Silkworm (set 2)                 |  Yes  |  Yes  |  Yes  |  Yes  | silkwrm2 |
| Ninja Gaiden (World)             |  Yes  |  Yes  |  Yes  |  Yes  | gaiden   |
| Shadow Warriors (US)             |  Yes  |  Yes  |  Yes  |  Yes  | shadoww  |
| Ninja Ryukenden (Japan)          |  Yes  |  Yes  |  Yes  |  Yes  | ryukendn |
| Tecmo Knight                     |  Yes  |  Yes  |  Yes  |  Yes  | tknight  |
| Wild Fang                        |  Yes  |  Yes  |  Yes  |  Yes  | wildfang |
| World Cup 90                     |  Yes  |  Yes  |  Yes  |   No  | wc90     |
| Euro League                      |  Yes  |  Yes  |  Yes  |   No  | wc90b    |
| Final Star Force (US)            |  Yes  |  Yes  |  Yes  |  Yes  | fstarfrc |
| Ganbare Ginkun                   |  Yes  |  Yes  |  Yes  |  Yes  | ginkun   |
| Tutankham                        |  Yes  |  Yes  |  Yes  |  Yes  | tutankhm |
| Tutankham (Stern)                |  Yes  |  Yes  |  Yes  |  Yes  | tutankst |
| Juno First                       |  Yes  |  Yes  |  Yes  |  Yes  | junofrst |
| Juno First (Gottlieb)            |  Yes  |  Yes  |  Yes  |  Yes  | junofstg |
| Pooyan                           |  Yes  |  Yes  |  Yes  |  Yes  | pooyan   |
| Pooyan (Stern)                   |  Yes  |  Yes  |  Yes  |  Yes  | pooyans  |
| Pootan                           |  Yes  |  Yes  |  Yes  |  Yes  | pootan   |
| Time Pilot                       |  Yes  |  Yes  |  Yes  |  Yes  | timeplt  |
| Time Pilot (Centuri)             |  Yes  |  Yes  |  Yes  |  Yes  | timepltc |
| Space Pilot                      |  Yes  |  Yes  |  Yes  |  Yes  | spaceplt |
| Power Surge                      |  Yes  |  Yes  |  Yes  |  Yes  | psurge   |
| Mega Zone                        |  Yes  |  Yes  |  Yes  |  Yes  | megazone |
